idx,in_idx,politeness,FUNDER_001,FUNDER_002,FUNDER_003,FUNDER_004,FUNDER_005,FUNDER_006,FUNDER_007,FUNDER_008,FUNDER_009,FUNDER_010,FUNDER_011,FUNDER_012,FUNDER_013,FUNDER_014,FUNDER_015,FUNDER_016,FUNDER_017,FUNDER_018,FUNDER_019,FUNDER_020,FUNDER_021,FUNDER_022,FUNDER_023,FUNDER_024,FUNDER_025,FUNDER_026,FUNDER_027,FUNDER_028,FUNDER_029,FUNDER_030,FUNDER_031,FUNDER_032,FUNDER_033,FUNDER_034,FUNDER_035,FUNDER_036,FUNDER_037,FUNDER_038,FUNDER_039,FUNDER_040,FUNDER_041,FUNDER_042,FUNDER_043,FUNDER_044,FUNDER_045,FUNDER_046,FUNDER_047,FUNDER_048,FUNDER_049,FUNDER_050,FUNDER_051,FUNDER_052,FUNDER_053,FUNDER_054,FUNDER_055,FUNDER_056,FUNDER_057,FUNDER_058,FUNDER_059,FUNDER_060,FUNDER_061,FUNDER_062,FUNDER_063,FUNDER_064,FUNDER_065,FUNDER_066,FUNDER_067,FUNDER_068,FUNDER_069,FUNDER_070,FUNDER_071,FUNDER_072,FUNDER_073,FUNDER_074,FUNDER_075,FUNDER_076,FUNDER_077,FUNDER_078,FUNDER_079,FUNDER_080,FUNDER_081,FUNDER_082,FUNDER_083,FUNDER_084,FUNDER_085,FUNDER_086,FUNDER_087,FUNDER_088,FUNDER_089,FUNDER_090,FUNDER_091,FUNDER_092,FUNDER_093,FUNDER_094,FUNDER_095,FUNDER_096,FUNDER_097,FUNDER_098,FUNDER_099,FUNDER_100,PolCat
1,1,2.98,.2,.01,.01,0,.01,.02,.01,.01,.03,.01,0,0,.01,.01,0,.03,0,.01,0,0,.01,0,0,0,0,0,.01,0,0,.01,.01,0,0,0,0,0,0,0,.01,.01,0,.01,0,.01,0,0,0,0,0,.01,.03,0,.01,.01,0,0,0,0,0,.08,.01,0,.01,0,0,.02,.01,0,.01,.01,.01,0,.06,.01,0,.01,0,.07,0,.05,.01,0,0,.01,.01,0,.01,0,.01,0,0,0,0,0,0,0,.01,0,0,0,1
1,2,2.83,0,.01,.01,0,0,.01,.01,.01,.02,.15,0,.01,.01,.03,.01,.01,0,.01,.02,.02,.04,0,0,0,.01,0,.01,.01,.01,.01,.04,0,0,.01,.01,0,0,.01,.01,.02,0,.01,.01,.01,0,0,.01,.02,.05,0,.02,.01,0,.01,0,.01,0,.01,0,.01,.01,.02,.01,.01,0,.01,.01,.01,.01,.02,0,.01,.01,0,.01,0,.01,.01,.01,.01,.02,.01,0,0,.01,0,.02,.01,0,.01,0,0,0,0,.01,0,.01,0,.01,0,1
1,3,3.13,.1,0,0,0,0,0,.01,0,0,0,0,0,.01,0,0,0,0,.17,0,0,0,0,0,0,0,0,.01,0,0,0,.01,0,0,0,0,0,0,0,0,.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,.09,0,0,0,0,0,0,0,0,.01,0,0,0,0,.05,0,0,0,.13,0,.02,0,0,0,0,.01,0,.01,0,0,.07,0,0,0,0,0,0,0,0,0,0,1
1,4,3.74,.01,0,0,0,0,0,0,0,.01,0,0,0,.01,0,0,.37,.01,0,0,0,0,.01,0,0,0,0,.03,0,0,.01,.06,.05,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,.01,0,.01,0,0,0,.09,0,0,0,0,0,0,0,0,0,0,0,0,0,.02,0,.01,0,0,0,0,.01,0,.01,.05,0,0,0,0,.04,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,3
1,5,3.13,.16,.01,.01,0,0,.01,.02,.01,0,0,0,0,0,.01,0,.02,0,.01,0,0,0,.01,0,.01,0,.01,.01,0,0,0,.01,0,.01,0,0,0,0,0,.01,.01,0,0,0,0,0,0,0,0,0,.05,.06,0,.01,.06,0,.01,.01,0,0,.02,.04,.01,.01,0,.01,.01,0,0,.01,.01,.01,0,.01,.02,.01,.01,0,.03,0,.07,0,0,.01,0,0,0,.01,0,.01,.01,0,0,.01,0,.01,0,0,.01,0,0,1
1,7,3.06,.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.07,0,0,0,0,0,.03,0,0,.03,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,.21,0,0,0,0,0,0,.04,0,0,0,.02,0,.01,.01,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,1
1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.54,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,9,3.05,.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,.46,0,0,.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.27,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10,3.81,.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,.04,0,0,0,0,0,0,0,0,0,0,0,0,0,.03,0,0,0,.01,0,.01,0,0,0,0,0,0,0,0,.02,0,0,0,0,0,0,0,0,0,0,0,3
1,11,3.16,0,.01,0,0,0,.02,.05,.02,.02,.02,0,.01,.01,.01,0,.02,0,0,0,.01,.04,.01,.01,0,.01,.01,0,.03,.01,.01,.01,0,.01,0,0,0,0,.01,.01,.01,.01,0,0,.01,0,.01,.01,.01,.08,0,.02,.01,.01,.01,0,.02,0,0,0,.01,0,.01,.01,0,0,.02,.02,.02,.01,.01,0,0,.15,0,.01,0,0,.01,0,0,.01,.01,0,.01,.01,0,0,.01,.01,.01,.01,0,.01,0,.01,0,0,0,0,.01,1
1,12,2.37,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,.26,.11,0,0,0,0,0,0,0,0,0,.01,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.02,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,.4,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,2.74,0,.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2,4.13,0,.01,0,0,0,.01,0,.01,.01,0,0,.01,.01,0,0,.01,0,0,0,0,.29,0,.01,.01,.01,0,0,.01,.04,0,.03,0,0,0,0,0,.01,0,0,0,.01,0,0,0,0,.02,0,0,.04,.01,.01,0,0,.01,.1,.01,.01,0,0,0,0,0,0,0,.01,0,.04,.01,0,0,0,.01,.02,0,0,0,0,.01,.01,0,.01,.01,0,.01,.01,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,3
3,6,3.18,.07,.01,.02,0,0,.01,.01,.01,0,0,0,0,.01,.01,0,.01,0,0,0,.01,0,.01,.01,0,0,0,0,.01,0,0,0,0,.01,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,.01,0,0,.01,0,.01,.04,0,0,0,0,0,.02,.01,.01,.01,0,.11,0,.01,0,.01,.01,.01,.01,.01,.11,0,.01,0,.01,.01,.13,.01,.02,0,.02,0,0,.01,0,.02,0,0,0,0,0,0,0,0,.01,0,0,1
4,12,3.16,.03,.01,.01,.01,.01,.01,.01,.01,.01,0,0,.01,.01,.01,.01,0,.01,.01,.01,0,.01,.01,.02,.01,0,.01,.02,0,0,0,.01,0,.01,0,0,0,.01,.01,.01,.01,.01,0,.01,0,.01,0,0,.01,0,.01,.02,.01,.03,.01,.03,.01,.04,.01,0,.03,.01,.01,.01,0,.04,.01,.01,0,0,.01,.02,.01,0,.03,.01,.01,0,.02,.01,.01,.03,.01,.01,.01,.01,.01,.01,0,.04,.01,.01,.01,.01,.01,.01,0,.01,.01,0,.01,1
4,13,3.87,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.11,0,0,0,0,0,0,0,0,0,0,0,0,0,.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,1,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,.01,0,0,0,0,0,0,.01,.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.28,0,.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,3,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,.83,.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.02,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.02,0,0,0,0,0,0,0,0,0,0,0,1
